@relation 'Dataset-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute NestingDepth numeric
@attribute CyclomaticComplexity numeric
@attribute CodeSmells numeric
@attribute stmtAdded numeric
@attribute avgChurn numeric
@attribute IsBuggy {no,yes}

@data
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.001523,0.015957,no
0,0,0,0.001306,0.003408,no
0,0,0,0.001523,0.003873,no
0,0,0,0.007726,0.011154,no
0,0,0,0.007726,0.011154,no
0,0,0,0.007726,0.011154,no
0,0,0,0.007726,0.011154,no
0,0,0,0.010337,0.005009,no
0,0,0,0,0,no
0.017241,0.5625,0.666667,0.000435,0.00031,yes
0,0,0,0,0,no
0,0,0,0,0,no
0.017241,0.59375,0.666667,0.000435,0.00031,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000653,0.00093,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000653,0.00093,no
0,0,0,0.00457,0.005267,no
0.051724,0.03125,0,0.006094,0.0055,no
0.034483,0.03125,0,0.004135,0.007901,no
0,0,0,0.001306,0.003641,no
0.034483,0.03125,0,0.005332,0.002685,no
0,0,0,0.005005,0.003641,no
0,0,0,0,0,no
0,0,0,0.000979,0.015027,no
0,0,0,0.000653,0.001084,no
0,0,0.333333,0.004026,0.003098,no
0,0,0,0.005332,0.00395,no
0.034483,0.03125,0.333333,0.025789,0.012652,no
0,0,0.333333,0.021654,0.031294,no
0,0,0.333333,0.021763,0.015724,no
0.017241,0.03125,0,0.025462,0.01229,no
0.017241,0.03125,0,0.028183,0.020294,no
0,0,0,0.028183,0.020294,no
0.034483,0.03125,0,0.028183,0.020294,no
0.068966,0.0625,0,0.006638,0.004725,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.051724,0.03125,0,0.002503,0.003718,no
0.034483,0.03125,0,0.002503,0.003718,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.12069,0.0625,0.333333,0.000218,0.000465,no
0.017241,0,0,0,0,no
0.051724,0.03125,0,0.000218,0.00062,no
0.034483,0.03125,0,0,0,yes
0.172414,0.09375,0.333333,0,0,no
0.103448,0.0625,0,0,0,no
0.051724,0,0.666667,0.002394,0.007746,no
0,0,0,0.000218,0.002479,no
0,0,0,0.001741,0.002634,no
0.034483,0.03125,0,0,0,no
0.37931,0.25,0.333333,0.003047,0.003098,yes
0.327586,0.21875,0.333333,0.000871,0.001239,yes
0.206897,0.15625,0.666667,0.00272,0.0016,yes
0.155172,0.09375,0.333333,0.000109,0.00031,no
0.137931,0.09375,0.333333,0.000109,0.00031,no
0.086207,0.0625,0.333333,0,0,no
0,0,0.333333,0,0,no
0.086207,0.0625,0.333333,0.008161,0.011619,yes
0,0,0,0,0,no
0,0,0,0.000218,0.00062,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0.137931,0.0625,0.333333,0,0,no
0.103448,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.155172,0.09375,0.333333,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000218,0.00062,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0.000326,0.00093,no
0.017241,0.09375,0,0.000326,0.00093,no
0,0,0.666667,0.000218,0.00062,no
0,0,0,0,0,no
0,0,0,0,0,no
0.137931,0.125,0.333333,0.000326,0.00093,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0.333333,0.001959,0.005577,no
0,0,0,0.000109,0.001549,yes
0.206897,0.15625,0.333333,0.001088,0.000697,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000218,0.000465,no
0,0,0,0,0,no
0,0,0,0.000326,0.005267,no
0,0,0,0.003482,0.005422,no
0,0,0,0.003482,0.005422,no
0,0,0,0.003482,0.005422,no
0.051724,0.03125,0,0.003591,0.002866,no
0,0,0,0.003482,0.005422,no
0.051724,0.03125,0.666667,0.02111,0.01282,no
0,0,0,0.019369,0.02897,no
0,0,0,0.019369,0.02897,no
0,0,0,0.019369,0.02897,no
0,0,0,0.019369,0.02897,no
0,0,0,0.019478,0.01464,no
0,0,0,0.019478,0.01464,no
0,0,0,0.019369,0.02897,no
0,0,0,0.019369,0.02897,no
0,0,0,0.019369,0.02897,no
0,0,0,0.019478,0.01464,no
0.034483,0.03125,0,0.020457,0.007823,no
0.034483,0.03125,0,0.020131,0.00763,no
0,0,0,0.019369,0.02897,no
0.12069,0.0625,0.333333,0.022089,0.009605,yes
0.103448,0.0625,0.333333,0.022089,0.009605,yes
0.051724,0.03125,0,0.00185,0.002375,yes
0.034483,0.03125,0,0.003047,0.002634,no
0.086207,0.0625,0,0.003156,0.003176,no
0,0,0,0.002067,0.001859,no
0.068966,0.0625,0,0.008814,0.004996,no
0,0,0,0.012622,0.006765,no
0,0,0.333333,0.013928,0.006158,no
0,0,0.333333,0.015887,0.006429,no
0.189655,0.125,0.666667,0.012731,0.010741,no
0,0,0,0.000762,0.006662,yes
0,0,0,0.000544,0.00062,no
0,0,0,0.000653,0.001239,no
0,0,0,0.017628,0.025562,no
0,0,0,0.016975,0.024322,no
0,0,0,0.016975,0.024322,no
0,0,0,0.016975,0.024322,yes
0.068966,0.0625,0,0.016975,0.024322,no
0,0,0,0.016975,0.024322,yes
0.034483,0.03125,0,0.017084,0.012316,no
0.068966,0.0625,0,0.016975,0.024322,no
0.224138,0.125,0.333333,0.02198,0.007901,yes
0.103448,0.0625,0.333333,0.024157,0.009411,yes
0.086207,0.0625,0.333333,0.022307,0.008017,yes
0.206897,0.125,0.333333,0.028183,0.016835,yes
0.051724,0.03125,0,0.02198,0.012187,yes
0.034483,0.03125,0,0.001632,0.004493,no
0.017241,0,0,0,0,no
0,0,0,0,0,no
0.017241,0,0,0,0,no
0,0,0,0.000435,0.000542,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000653,0.001084,yes
0,0,0,0.000653,0.001084,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.051724,0.03125,0,0,0,no
0.137931,0.0625,0.333333,0.000218,0.00031,no
0.310345,0.25,0.333333,0.005658,0.003614,no
0,0,0,0,0,yes
0,0,0,0,0,yes
0,0,0.333333,0.000653,0.000775,no
0,0,0,0.000218,0.000232,no
0,0,0,0.000653,0.00093,no
0.448276,0.3125,1,0.006202,0.002452,yes
0.051724,0.03125,0,0.00272,0.002556,yes
0.051724,0.03125,0,0.001959,0.003098,no
0,0,0,0.000109,0.00031,no
0.034483,0.03125,0,0.000871,0.001394,yes
0.224138,0.1875,0.666667,0.000109,0.00031,no
0,0,0,0.000109,0.00031,no
0.137931,0.09375,0.333333,0.002176,0.001808,yes
0.051724,0.03125,0,0.001632,0.001859,yes
0.034483,0.03125,0,0,0,yes
0,0,0,0.000218,0.00062,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000326,0.000387,no
0,0,0,0.001415,0.002014,no
0,0,0,0.001415,0.002014,no
0,0.03125,0,0.000435,0.000465,no
0.172414,0.15625,0.333333,0.000326,0.00093,no
