@relation 'Dataset-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute avgChurn numeric
@attribute stmtAdded numeric
@attribute CyclomaticComplexity numeric
@attribute CodeSmells numeric
@attribute maxChurn numeric
@attribute IsBuggy {no,yes}

@data
0,0,0.0625,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.00062,0.000218,0.03125,0,0.00062,no
0,0,0,0,0,no
0,0,0,0,0,no
0.00031,0.000109,0.0625,0,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.015957,0.001523,0,0,0.015957,no
0.003408,0.001306,0,0,0.003408,no
0.003873,0.001523,0,0,0.003873,no
0.011154,0.007726,0,0,0.011154,no
0.011154,0.007726,0,0,0.011154,no
0.011154,0.007726,0,0,0.011154,no
0.011154,0.007726,0,0,0.011154,no
0.005009,0.010337,0,0,0.011154,no
0,0,0,0,0,no
0.00031,0.000435,0.5625,0.666667,0.00031,yes
0,0,0,0,0,no
0,0,0,0,0,no
0.00031,0.000435,0.59375,0.666667,0.00031,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.00093,0.000653,0,0,0.00093,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.00031,0.000109,0,0,0.00031,no
0.00031,0.000109,0,0,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.00093,0.000653,0,0,0.00093,no
0.005267,0.00457,0,0,0.007746,no
0.0055,0.006094,0.03125,0,0.004028,no
0.007901,0.004135,0.03125,0,0.004028,no
0.003641,0.001306,0,0,0.006816,no
0.002685,0.005332,0.03125,0,0.006352,no
0.003641,0.005005,0,0,0.006352,no
0,0,0,0,0,no
0.015027,0.000979,0,0,0.015027,no
0.001084,0.000653,0,0,0.001084,no
0.003098,0.004026,0,0.333333,0.005732,no
0.00395,0.005332,0,0,0.005732,no
0.012652,0.025789,0.03125,0.333333,0.031294,no
0.031294,0.021654,0,0.333333,0.031294,no
0.015724,0.021763,0,0.333333,0.031294,no
0.01229,0.025462,0.03125,0,0.031294,no
0.020294,0.028183,0.03125,0,0.031294,no
0.020294,0.028183,0,0,0.031294,no
0.020294,0.028183,0.03125,0,0.031294,no
0.004725,0.006638,0.0625,0,0.009295,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.003718,0.002503,0.03125,0,0.003408,no
0.003718,0.002503,0.03125,0,0.003408,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000465,0.000218,0.0625,0.333333,0.00031,no
0,0,0,0,0,no
0.00062,0.000218,0.03125,0,0.00062,no
0,0,0.03125,0,0,yes
0,0,0.09375,0.333333,0,no
0,0,0.0625,0,0,no
0.007746,0.002394,0,0.666667,0.002634,no
0.002479,0.000218,0,0,0.002479,no
0.002634,0.001741,0,0,0.002634,yes
0.002634,0.001741,0,0,0.002634,no
0,0,0.03125,0,0,no
0.003098,0.003047,0.25,0.333333,0.004338,yes
0.001239,0.000871,0.21875,0.333333,0.00093,yes
0.0016,0.00272,0.15625,0.666667,0.002789,yes
0.00031,0.000109,0.09375,0.333333,0.00031,no
0.00031,0.000109,0.09375,0.333333,0.00031,no
0,0,0.0625,0.333333,0,no
0,0,0,0.333333,0,no
0.006352,0.008705,0.03125,0.333333,0.011619,yes
0.011619,0.008161,0.0625,0.333333,0.011619,yes
0,0,0,0,0,no
0.00062,0.000218,0,0,0.00062,no
0,0,0,0,0,no
0,0,0,0,0,no
0.00031,0.000109,0,0,0.00031,no
0,0,0,0,0,no
0,0,0.0625,0.333333,0,no
0,0,0.0625,0,0,no
0,0,0.03125,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0.09375,0.333333,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.00062,0.000218,0,0,0.00062,no
0.00031,0.000109,0,0,0.00031,no
0,0,0,0,0,no
0.00031,0.000109,0,0,0.00031,no
0.00093,0.000326,0,0,0.00093,no
0.00093,0.000326,0.09375,0,0.00093,no
0.00062,0.000218,0,0.666667,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0.00093,0.000326,0.125,0.333333,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.005577,0.001959,0,0.333333,0.005577,no
0.001549,0.000109,0,0,0.001549,yes
0.000697,0.001088,0.15625,0.333333,0.000465,yes
0,0,0,0,0,no
0,0,0,0,0,no
0.000465,0.000218,0,0,0.000465,no
0,0,0,0,0,no
0.005267,0.000326,0,0,0.005267,no
0.005422,0.003482,0,0,0.005422,no
0.005422,0.003482,0,0,0.005422,no
0.005422,0.003482,0,0,0.005422,no
0.002866,0.003591,0.03125,0,0.005422,no
0.005422,0.003482,0,0,0.005422,no
0.01282,0.02111,0.03125,0.666667,0.02897,no
0.02897,0.019369,0,0,0.02897,no
0.02897,0.019369,0,0,0.02897,no
0.02897,0.019369,0,0,0.02897,no
0.02897,0.019369,0,0,0.02897,no
0.01464,0.019478,0,0,0.02897,no
0.01464,0.019478,0,0,0.02897,no
0.02897,0.019369,0,0,0.02897,no
0.02897,0.019369,0,0,0.02897,no
0.02897,0.019369,0,0,0.02897,no
0.01464,0.019478,0,0,0.02897,no
0.007823,0.020457,0.03125,0,0.02897,no
0.00763,0.020131,0.03125,0,0.02897,no
0.02897,0.019369,0,0,0.02897,no
0.009605,0.022089,0.0625,0.333333,0.02897,yes
0.009605,0.022089,0.0625,0.333333,0.02897,yes
0.002375,0.00185,0.03125,0,0.004183,yes
0.002634,0.003047,0.03125,0,0.004957,no
0.003176,0.003156,0.0625,0,0.003408,no
0.001859,0.002067,0,0,0.003408,no
0.004996,0.008814,0.0625,0,0.010999,no
0.006765,0.012622,0,0,0.010999,no
0.006158,0.013928,0,0.333333,0.010999,no
0.006429,0.015887,0,0.333333,0.010999,no
0.010741,0.012731,0.125,0.666667,0.010534,no
0.004854,0.009576,0.03125,0,0.008985,yes
0.006662,0.000762,0,0,0.006662,yes
0.00062,0.000544,0,0,0.00093,no
0.001239,0.000653,0,0,0.001239,no
0.025562,0.017628,0,0,0.024322,no
0.024322,0.016975,0,0,0.024322,no
0.024322,0.016975,0,0,0.024322,no
0.024322,0.016975,0,0,0.024322,yes
0.024322,0.016975,0.0625,0,0.024322,no
0.024322,0.016975,0,0,0.024322,yes
0.012316,0.017084,0.03125,0,0.024322,no
0.024322,0.016975,0.0625,0,0.024322,no
